OriginalTweets,
"I have more BTC than Warren Buffett and Charle Munger combined, and this is all what matters long-term. See you in couple of decades, grandpas! Oh, wait...",bully
"BUFFETT NEAR DEATH AND CHARLE MUNGER HIT 90 DEAD BRAIN 
@JanetYellenBlog",bully
"From easy honeycrisp apple cake, to homemade spiked cider, to slow cooker apple butter you'll want to put on everything.",non
Strawberry cake by @holyday.baking,non
I just hate you. GO TO HELL!,bully
"An 8-mile-long ""canvas"" discovered in the Amazon Rainforest. It contains ice age drawings of long-extinct animals.",non
ouching North America and Europe at the same time,non
"This is BJP MLA Nand Kishore Gujjar. He also spoke at the same event with Parvesh Varma. 
#HateSpeech
",Non
If i was as black as you i wouldn't be able to find myself in the dark,bully
You are just a girl. Shut up and listen @andy5,bully
