,OriginalTweets
0,#dilemma I don't know what looks worse You or my burnt omelete
1,I Just Hate you dude can you just go die?
2,"You suck and all your work sucks 
@randy321"
3,#Suck_it_Donald Stop it with your weird racoon Head
4,"I THINK YOU SHOULD JUST GO TO A CORNER, CURL UP AND CRY YOU WIENER!"
5,"@fucktyler 
@fart
 one shouldn't have to walk away from an online community cos of online bullies- most ppl. need to know of Jeezuz. #Weeeeeee"
6,BREAKING: Elon Musk has announced he's pulling out of his Twitter deal in order to spend more time with his ego.
7,"Fuck every word in the English language. Task did complete in 2020. Rip 
@fuckeveryword
. This is an attempt by 
@Anka213
 to resurrect it."
8,"BREAKING NEWS: Rather than get sued by Twitter, Elon Musk has decided to leave earth, colonize Mars, and start his new Social Media empire there. It's going to be called ""Martyr"""
9,I wish I was born rich so that I can be self-made like you. Bitch
