,text_clean
0,dilemma i dont know what looks worse you or my burnt omelete
1,i just hate you dude can you just go die
2,you suck and all your work sucks
3,suckitdonald stop it with your weird racoon head
4,i think you should just go to a corner curl up and cry you wiener
5,one shouldnt have to walk away from an online community cos of online bullies most ppl need to know of jeezuz weeeeeee
6,breaking elon musk has announced hes pulling out of his twitter deal in order to spend more time with his ego
7,fuck every word in the english language task did complete in 2020 rip this is an attempt by to resurrect it
8,breaking news rather than get sued by twitter elon musk has decided to leave earth colonize mars and start his new social media empire there its going to be called martyr
9,i wish i was born rich so that i can be selfmade like you bitch
